Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
AKKALKUWA,1,AMSHYA FULJI PADVI,Shiv Sena,ADV K C PADAVI,Indian National Congress,2904
SHAHADA,2,RAJESH UDESING PADVI,Bharatiya Janata Party,RAJENDRAKUMAR KRISHNARAO GAVIT,Indian National Congress,53204
NANDURBAR,3,DR.VIJAYKUMAR KRUSHANRAO GAVIT,Bharatiya Janata Party,ENGG.KIRAN DAMODAR TADAVI,Indian National Congress,76247
NAWAPUR,4,SHIRISHKUMAR SURUPSING NAIK,Indian National Congress,SHARAD KRISHNARAO GAVIT,Independent,1121
SAKRI,5,MANJULA TULSHIRAM GAVIT,Shiv Sena,PRAVIN (GOTU) BAPU CHAURE,Indian National Congress,5584
DHULE RURAL,6,RAGHAVENDRA (RAMDADA) MANOHAR PATIL,Bharatiya Janata Party,KUNALBABA ROHIDAS PATIL,Indian National Congress,66320
DHULE CITY,7,AGRAWAL ANUPBHAIYYA OMPRAKASH,Bharatiya Janata Party,SHAH FARUK ANWAR,All India Majlis-E-Ittehadul Muslimeen,45750
SINDKHEDA,8,JAYKUMAR JITENDRASINH RAWAL,Bharatiya Janata Party,BEDSE SANDEEP TRYAMBAKRAO,Nationalist Congress Party – Sharadchandra Pawar,95884
SHIRPUR,9,KASHIRAM VECHAN PAWARA,Bharatiya Janata Party,DR.JITENDRA YUVRAJ THAKUR,Independent,145944
CHOPDA,10,CHANDRAKANT BALIRAM SONAWANE,Shiv Sena,PRABHAKAR AAPPA GOTU SONAWANE,Shiv Sena (Uddhav Balasaheb Thackeray),32313
RAVER,11,AMOL HARIBHAU JAWALE,Bharatiya Janata Party,CHAUDHARI DHANANJAY SHIRISH,Indian National Congress,43562
BHUSAWAL,12,SAVKARE SANJAY WAMAN,Bharatiya Janata Party,DR RAJESH TUKARAM MANWATKAR,Indian National Congress,47488
JALGAON CITY,13,SURESH DAMU BHOLE (RAJU MAMA),Bharatiya Janata Party,JAYASHRI SUNIL MAHAJAN,Shiv Sena (Uddhav Balasaheb Thackeray),87503
JALGAON RURAL,14,GULABRAO RAGHUNATH PATIL,Shiv Sena,GULABRAO BABURAO DEOKAR,Nationalist Congress Party – Sharadchandra Pawar,59232
AMALNER,15,ANIL BHAIDAS PATIL,Nationalist Congress Party,SHIRISH HIRALAL CHAUDHARI,Independent,33435
ERANDOL,16,AMOL CHIMANRAO PATIL,Shiv Sena,ANNASAHEB DR. SATISH BHASKARRAO PATIL,Nationalist Congress Party – Sharadchandra Pawar,56332
CHALISGAON,17,MANGESH RAMESH CHAVAN,Bharatiya Janata Party,UNMESH BHAIYYASAHEB PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),85653
PACHORA,18,KISHOR APPA PATIL,Shiv Sena,VAISHALITAI NARENDRASINGH SURYAWANSHI,Shiv Sena (Uddhav Balasaheb Thackeray),38689
JAMNER,19,GIRISH DATTATRAY MAHAJAN,Bharatiya Janata Party,KHODAPE DILIP BALIRAM (SIR),Nationalist Congress Party – Sharadchandra Pawar,26885
MUKTAINAGAR,20,CHANDRAKANT NIMBA PATIL,Shiv Sena,ADV. KHADSE ROHINI EKNATHRAO,Nationalist Congress Party – Sharadchandra Pawar,23904
MALKAPUR,21,CHAINSUKH MADANLAL SANCHETI,Bharatiya Janata Party,EKDE RAJESH PANDITRAO,Indian National Congress,26397
BULDHANA,22,GAIKWAD SANJAY RAMBHAU,Shiv Sena,JAYSHREE SUNIL SHELKE,Shiv Sena (Uddhav Balasaheb Thackeray),841
CHIKHLI,23,SHWETA VIDYADHAR MAHALE,Bharatiya Janata Party,RAHUL SIDDHAVINAYAK BONDRE,Indian National Congress,3201
SINDKHED RAJA,24,KAYANDE MANOJ DEVANAND,Nationalist Congress Party,DR RAJENDRA BHASKARRAO SHINGNE,Nationalist Congress Party – Sharadchandra Pawar,4650
MEHKAR,25,KHARAT SIDDHARTH RAMBHAU,Shiv Sena (Uddhav Balasaheb Thackeray),SANJAY BHASKAR RAYMULKAR,Shiv Sena,4819
KHAMGAON,26,AKASH PANDURANG FUNDKAR,Bharatiya Janata Party,RANA DILIPKUMAR GOKULCHAND SANANDA,Indian National Congress,25477
JALGAON (JAMOD),27,KUTE SANJAY SHRIRAM,Bharatiya Janata Party,DR SWATI SANDIP WAKEKAR,Indian National Congress,18771
AKOT,28,PRAKASH GUNWANT BHARSAKLE,Bharatiya Janata Party,GANGANE MAHESH SUDHAKARRAO,Indian National Congress,18851
BALAPUR,29,NITIN BHIKANRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackeray),S.N. KHATIB,Vanchit Bahujan Aaghadi,11739
AKOLA WEST,30,SAJID KHAN PATHAN,Indian National Congress,AGRAWAL VIJAY KAMALKISHOR,Bharatiya Janata Party,1283
AKOLA EAST,31,RANDHIR PRALHADRAO SAWARKAR,Bharatiya Janata Party,GOPAL ALIAS ASHISH RAMRAO DATKAR,Shiv Sena (Uddhav Balasaheb Thackeray),50613
MURTIZAPUR,32,HARISH MAROTIAPPA PIMPLE,Bharatiya Janata Party,SAMRAT DONGARDIVE,Nationalist Congress Party – Sharadchandra Pawar,35864
RISOD,33,AMEET SUBHASHRAO ZANAK,Indian National Congress,ANANTRAO VITTHALRAO DESHMUKH,Independent,6136
WASHIM,34,SHYAM RAMCHARAN KHODE,Bharatiya Janata Party,SIDDHARTH AKARAMJI DEOLE,Shiv Sena (Uddhav Balasaheb Thackeray),19874
KARANJA,35,SAI PRAKASH DAHAKE,Bharatiya Janata Party,PATNI GYAYAK RAJENDRA,Nationalist Congress Party – Sharadchandra Pawar,35073
DHAMANGAON RAILWAY,36,ADSAD PRATAP ARUNBHAU,Bharatiya Janata Party,JAGTAP VIRENDRA WALMIKRAO,Indian National Congress,16228
BADNERA,37,RAVI GANGADHAR RANA,Rashtriya Yuva Swabhiman Party,BAND PRITI SANJAY,Independent,66974
AMRAVATI,38,SULBHA SANJAY KHODKE,Nationalist Congress Party,DR. SUNIL PANJABRAO DESHMUKH,Indian National Congress,5413
TEOSA,39,RAJESH SHRIRAMJI WANKHADE,Bharatiya Janata Party,ADV. YASHOMATI CHANDRAKANT THAKUR,Indian National Congress,7617
DARYAPUR,40,GAJANAN MOTIRAM LAWATE,Shiv Sena (Uddhav Balasaheb Thackeray),BUNDILE RAMESH GANPATRAO,Rashtriya Yuva Swabhiman Party,19709
MELGHAT,41,KEWALRAM TULSIRAM KALE,Bharatiya Janata Party,DR. HEMANT NANDA CHIMOTE,Indian National Congress,106859
ACHALPUR,42,PRAVIN VASANTRAO TAYADE,Bharatiya Janata Party,BACCHU B. KADU,Prahar Janshakti Party,12131
MORSHI,43,UMESH ALIAS CHANDU ATMARAMJI YAWALKAR,Bharatiya Janata Party,DEVENDRA MAHADEVRAO BHUYAR,Nationalist Congress Party,64988
ARVI,44,SUMIT WANKHEDE,Bharatiya Janata Party,MAYURA AMAR KALE,Nationalist Congress Party – Sharadchandra Pawar,39574
DEOLI,45,RAJESH BHAURAO BAKANE,Bharatiya Janata Party,RANJIT PRATAPRAO KAMBLE,Indian National Congress,9308
HINGANGHAT,46,SAMIR TRYAMBAKRAO KUNAWAR,Bharatiya Janata Party,ATUL NAMDEVRAO WANDILE,Nationalist Congress Party – Sharadchandra Pawar,30094
WARDHA,47,DR. PANKAJ RAJESH BHOYAR,Bharatiya Janata Party,SHEKHAR PRAMOD SHENDE,Indian National Congress,7470
KATOL,48,CHARANSING BABULALJI THAKUR,Bharatiya Janata Party,DESHMUKH SALIL ANILBABU,Nationalist Congress Party – Sharadchandra Pawar,38816
SAVNER,49,DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,ANUJA SUNIL KEDAR,Indian National Congress,26401
HINGNA,50,SAMEER DATTATRAYA MEGHE,Bharatiya Janata Party,RAMESHCHANDRA GOPIKISAN BANG,Nationalist Congress Party – Sharadchandra Pawar,78931
UMRED,51,SANJAY NARAYANRAO MESHRAM,Indian National Congress,SUDHIR LAXMAN PARWE,Bharatiya Janata Party,12825
NAGPUR SOUTH WEST,52,DEVENDRA GANGADHAR FADNAVIS,Bharatiya Janata Party,PRAFULLA VINODRAO GUDADHE,Indian National Congress,39710
NAGPUR SOUTH,53,MOHAN GOPALRAO MATE,Bharatiya Janata Party,GIRISH KRISHNARAO PANDAV,Indian National Congress,15658
NAGPUR EAST,54,KHOPDE KRISHNA PANCHAM,Bharatiya Janata Party,DUNESHWAR SURYABHAN PETHE,Nationalist Congress Party – Sharadchandra Pawar,115288
NAGPUR CENTRAL,55,DATKE PRAVIN PRABHAKARRAO,Bharatiya Janata Party,BUNTY BABA SHELKE,Indian National Congress,11632
NAGPUR WEST,56,VIKAS PANDURANG THAKRE,Indian National Congress,SUDHAKAR VITTHALRAO KOHALE,Bharatiya Janata Party,5824
NAGPUR NORTH,57,DR NITIN KASHINATH RAUT,Indian National Congress,DR. MILIND MANE,Bharatiya Janata Party,28467
KAMTHI,58,CHANDRASHEKHAR KRUSHNARAO BAWANKULE,Bharatiya Janata Party,SURESH YADAVRAO BHOYAR,Indian National Congress,40946
RAMTEK,59,ASHISH NANDKISHORE JAISWAL(VAKIL),Shiv Sena,RAJENDRA BHAURAO MULAK,Independent,26555
TUMSAR,60,KAREMORE RAJU MANIKRAO,Nationalist Congress Party,CHARAN SOVINDA WAGHMARE,Nationalist Congress Party – Sharadchandra Pawar,64305
BHANDARA,61,BHONDEKAR NARENDRA BHOJRAJ,Shiv Sena,PUJA GANESH (BALU) THAVAKAR,Indian National Congress,38367
SAKOLI,62,NANABHAU FALGUNRAO PATOLE,Indian National Congress,AVINASH ANANDRAO BRAHMANKAR,Bharatiya Janata Party,208
ARJUNI MORGAON,63,BADOLE RAJKUMAR SUDAM,Nationalist Congress Party,BANSOD DILIP WAMAN,Indian National Congress,16415
TIRORA,64,VIJAY BHARATLAL RAHANGDALE,Bharatiya Janata Party,RAVIKANT KHUSHAL BOPCHE (GUDDU),Nationalist Congress Party – Sharadchandra Pawar,42686
GONDIYA,65,AGRAWAL VINOD,Bharatiya Janata Party,AGRAWAL GOPALDAS SHANKARLAL,Indian National Congress,61608
AMGAON,66,SANJAY PURAM,Bharatiya Janata Party,RAJKUMAR LOTUJI PURAM,Indian National Congress,32721
ARMORI,67,RAMDAS MALUJI MASRAM,Indian National Congress,KRUSHNA DAMAJI GAJBE,Bharatiya Janata Party,6210
GADCHIROLI,68,DR. MILIND RAMJI NAROTE,Bharatiya Janata Party,MANOHAR TULSHIRAM PORETI,Indian National Congress,15505
AHERI,69,ATRAM DHARAMRAOBABA BHAGWANTRAO,Nationalist Congress Party,RAJE AMBRISH RAO RAJE SATYAVANRAO ATRAM,Independent,16814
RAJURA,70,DEORAO VITHOBA BHONGLE,Bharatiya Janata Party,DHOTE SUBHASH RAMCHANDRARAO,Indian National Congress,3054
CHANDRAPUR,71,JORGEWAR KISHOR GAJANAN,Bharatiya Janata Party,PRAVIN NANAJI PADWEKAR,Indian National Congress,22804
BALLARPUR,72,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,RAWAT SANTOSHSINGH CHANDANSINGH,Indian National Congress,25985
